portal_id,portal_code,customer_id,client_id,country_prefix,member_created,member_updated,status,access_right_id,i18n,subject,action,child_id,parent_id,is_mobile,other_child
Bigint,string,Bigint,Bigint,string,Bigint,Bigint,Smallint,Bigint,string,string,string,Bigint,Bigint,Boolean,string
1,,0,0,84,0,0,1,1,all,all,manage,1,1,FALSE,
1,,0,0,84,0,0,1,2,AccessRights.Home.Dashboard.read,home,read,2,2,FALSE,
1,,0,0,84,0,0,1,3,AccessRights.mySanxe24.services.read,mySanxe24.services,read,3,3,FALSE,
1,,0,0,84,0,0,1,4,AccessRights.mySanxe24.services.create,mySanxe24.services,create,3,3,FALSE,
1,,0,0,84,0,0,1,5,AccessRights.mySanxe24.services.update,mySanxe24.services,update,3,3,FALSE,
1,,0,0,84,0,0,1,6,AccessRights.mySanxe24.services.delete,mySanxe24.services,delete,3,3,FALSE,
1,,0,0,84,0,0,1,7,AccessRights.mySanxe24.zone_tariffs.read,mySanxe24.zone_tariffs,read,4,3,FALSE,
1,,0,0,84,0,0,1,8,AccessRights.mySanxe24.zone_tariffs.create,mySanxe24.zone_tariffs,create,4,3,FALSE,
1,,0,0,84,0,0,1,9,AccessRights.mySanxe24.zone_tariffs.update,mySanxe24.zone_tariffs,update,4,3,FALSE,
1,,0,0,84,0,0,1,10,AccessRights.mySanxe24.zone_tariffs.delete,mySanxe24.zone_tariffs,delete,4,3,FALSE,
1,,0,0,84,0,0,1,11,AccessRights.mySanxe24.tariffs.read,mySanxe24.tariffs,read,5,3,FALSE,
1,,0,0,84,0,0,1,12,AccessRights.mySanxe24.tariffs.create,mySanxe24.tariffs,create,5,3,FALSE,
1,,0,0,84,0,0,1,13,AccessRights.mySanxe24.tariffs.update,mySanxe24.tariffs,update,5,3,FALSE,
1,,0,0,84,0,0,1,14,AccessRights.mySanxe24.tariffs.delete,mySanxe24.tariffs,delete,5,3,FALSE,
1,,0,0,84,0,0,1,15,AccessRights.mySanxe24.members.read,mySanxe24.members,read,6,3,FALSE,
1,,0,0,84,0,0,1,16,AccessRights.mySanxe24.members.create,mySanxe24.members,create,6,3,FALSE,
1,,0,0,84,0,0,1,17,AccessRights.mySanxe24.members.update,mySanxe24.members,update,6,3,FALSE,
1,,0,0,84,0,0,1,18,AccessRights.mySanxe24.members.delete,mySanxe24.members,delete,6,3,FALSE,
1,,0,0,84,0,0,1,19,AccessRights.mySanxe24.members.export,mySanxe24.members,export,6,3,FALSE,
1,,0,0,84,0,0,1,20,AccessRights.mySanxe24.branchManager.read,mySanxe24.branch-manager,read,7,3,FALSE,
1,,0,0,84,0,0,1,21,AccessRights.mySanxe24.branchManager.create,mySanxe24.branch-manager,create,7,3,FALSE,
